date,ticker,open,high,low,close,volume,returns
2025-04-16,AAPL,391.87,393.9,388.7,393.12,26963992,-0.004033
2025-04-17,AAPL,395.25,396.03,388.32,391.53,41432353,-0.004044
2025-04-18,AAPL,382.43,394.55,374.08,384.72,3422828,-0.01754
2025-04-19,AAPL,382.56,389.93,374.43,384.84,26449189,0.000292
2025-04-20,AAPL,396.34,407.87,395.05,399.96,48966083,0.038552
2025-04-21,AAPL,408.16,415.42,402.93,409.35,10140440,0.023214
2025-04-22,AAPL,406.98,409.93,396.9,405.71,25790028,-0.008954
2025-04-23,AAPL,424.39,423.88,409.7,421.23,38288695,0.037539
2025-04-24,AAPL,422.91,433.71,422.51,423.31,20286652,0.004936
2025-04-25,AAPL,426.87,432.06,417.04,423.06,31096148,-0.000588
2025-04-26,AAPL,432.93,439.22,431.36,435.42,2371506,0.0288
2025-04-27,AAPL,427.24,436.37,426.67,431.55,21371221,-0.008942
2025-04-28,AAPL,428.11,432.97,429.62,431.23,49282075,-0.000727
2025-04-29,AAPL,432.12,435.41,427.42,434.45,31069359,0.007423
2025-04-30,AAPL,444.04,445.64,432.27,440.86,47869891,0.014665
2025-05-01,AAPL,447.6,451.86,439.72,446.53,32264497,0.012762
2025-05-02,AAPL,466.29,477.47,453.96,467.25,1204050,0.045375
2025-05-03,AAPL,457.79,465.09,459.34,459.7,11733298,-0.016298
2025-05-04,AAPL,444.82,458.89,436.53,448.36,4712797,-0.024977
2025-05-05,AAPL,432.74,446.75,436.45,436.85,38617623,-0.026012
2025-05-06,AAPL,440.45,441.19,428.8,440.57,24773128,0.008484
2025-05-07,AAPL,425.52,438.47,417.01,425.84,39801715,-0.034008
2025-05-08,AAPL,426.78,440.12,430.26,431.02,3832412,0.012104
2025-05-09,AAPL,429.43,439.6,427.65,430.91,15402400,-0.000258
2025-05-10,AAPL,443.55,449.7,431.38,440.87,20397189,0.022843
2025-05-11,AAPL,449.47,451.83,448.68,451.39,19445301,0.023574
2025-05-12,AAPL,445.04,449.45,437.88,443.96,13251656,-0.016594
2025-05-13,AAPL,447.98,454.08,444.66,452.31,43371427,0.018638
2025-05-14,AAPL,462.6,476.28,463.3,464.04,41810572,0.025591
2025-05-15,AAPL,469.3,480.42,461.53,467.35,45325400,0.007119
2025-05-16,AAPL,471.13,473.21,459.9,472.1,21516950,0.010112
2025-05-17,AAPL,484.43,481.94,471.51,480.23,5299698,0.017065
2025-05-18,AAPL,455.26,462.5,457.34,458.68,31836424,-0.045906
2025-05-19,AAPL,464.54,468.35,456.15,462.81,40960026,0.00897
2025-05-20,AAPL,476.41,476.96,467.95,472.84,24131755,0.021427
2025-05-21,AAPL,476.84,477.43,472.86,474.2,19365795,0.002884
2025-05-22,AAPL,447.81,450.45,439.36,445.95,2343693,-0.061417
2025-05-23,AAPL,437.34,449.39,432.37,437.54,22497865,-0.019041
2025-05-24,AAPL,436.17,439.0,429.68,436.32,25496260,-0.002796
2025-05-25,AAPL,434.35,446.37,428.77,433.56,26277929,-0.006348
2025-05-26,AAPL,448.2,449.2,440.58,447.02,38044739,0.030576
2025-05-27,AAPL,447.01,448.97,444.33,444.43,22197898,-0.005812
2025-05-28,AAPL,438.42,449.31,437.09,439.6,8462442,-0.010932
2025-05-29,AAPL,456.93,462.25,447.35,452.52,48367398,0.028964
2025-05-30,AAPL,462.98,472.23,450.92,463.25,42387285,0.023447
2025-05-31,AAPL,474.48,474.26,467.59,473.27,23694069,0.021386
2025-06-01,AAPL,480.42,487.61,464.97,479.26,16522158,0.012575
2025-06-02,AAPL,476.88,475.29,474.18,474.32,23332754,-0.010361
2025-06-03,AAPL,479.07,487.98,473.84,476.94,14040903,0.005517
2025-06-04,AAPL,459.58,462.51,447.51,457.35,16020521,-0.041931
2025-06-05,AAPL,454.61,466.77,451.15,458.55,3184344,0.002604
2025-06-06,AAPL,456.38,470.23,445.5,458.25,1182017,-0.000645
2025-06-07,AAPL,471.19,469.16,459.74,468.99,15864185,0.02317
2025-06-08,AAPL,468.03,480.93,461.06,470.22,25905186,0.00261
2025-06-09,AAPL,449.77,458.61,442.85,453.85,9201893,-0.035429
2025-06-10,AAPL,455.83,466.71,447.49,455.08,43454777,0.002698
2025-06-11,AAPL,465.22,473.3,457.08,461.84,9344078,0.014757
2025-06-12,AAPL,454.48,466.89,442.02,455.16,11168951,-0.014568
2025-06-13,AAPL,465.52,479.12,460.46,465.53,26469572,0.022516
2025-06-14,AAPL,487.22,493.4,476.36,483.35,38865679,0.037569
2025-06-15,AAPL,509.69,508.42,501.19,507.19,32788902,0.048139
2025-06-16,AAPL,504.9,509.29,495.18,503.69,48627742,-0.006927
2025-06-17,AAPL,502.2,505.06,491.54,500.45,40659565,-0.006449
2025-06-18,AAPL,493.95,493.19,489.66,491.25,8568295,-0.018554
2025-06-19,AAPL,476.98,482.53,476.33,481.06,44776495,-0.02096
2025-06-20,AAPL,481.37,487.53,478.95,483.31,18828665,0.00467
2025-06-21,AAPL,495.43,500.52,490.07,491.82,31245638,0.017448
2025-06-22,AAPL,485.82,499.28,480.3,487.63,22552462,-0.008547
2025-06-23,AAPL,493.18,499.26,495.41,497.91,29739048,0.020865
2025-06-24,AAPL,491.41,495.51,485.44,487.92,34385244,-0.020271
2025-06-25,AAPL,511.76,510.24,505.57,507.52,24185646,0.039373
2025-06-26,AAPL,502.57,511.93,488.61,499.64,22062879,-0.015649
2025-06-27,AAPL,508.01,512.92,495.33,504.15,35607711,0.008993
2025-06-28,AAPL,494.02,511.65,485.43,497.73,8205799,-0.012815
2025-06-29,AAPL,494.85,501.32,483.95,498.89,35968304,0.002322
2025-06-30,AAPL,501.37,506.56,503.41,504.96,12596580,0.012109
2025-07-01,AAPL,499.59,504.39,497.84,502.32,1809690,-0.005254
2025-07-02,AAPL,495.84,496.69,488.75,492.17,41894513,-0.02041
2025-07-03,AAPL,492.99,497.26,481.74,488.51,43043165,-0.007455
2025-07-04,AAPL,483.94,487.82,470.92,481.94,24774351,-0.013539
2025-07-05,AAPL,484.44,492.27,475.46,486.16,42830685,0.008708
2025-07-06,AAPL,480.9,498.12,482.21,484.14,5888740,-0.004155
2025-07-07,AAPL,488.95,494.97,477.54,489.28,18476972,0.01055
2025-07-08,AAPL,506.14,510.05,497.14,505.42,21514393,0.032466
2025-07-09,AAPL,514.19,517.21,499.53,512.72,35291304,0.01433
2025-07-10,AAPL,490.89,493.25,477.33,488.51,11722987,-0.048373
2025-07-11,AAPL,479.25,489.44,478.92,482.16,31823393,-0.013079
2025-07-12,AAPL,470.96,472.64,471.12,472.6,24000838,-0.020038
2025-07-13,AAPL,468.72,479.08,455.23,465.91,13883843,-0.014238
2025-07-14,AAPL,452.94,456.77,448.58,451.84,33239219,-0.03067
2025-07-15,AAPL,445.84,446.0,440.58,445.16,34544785,-0.014903
2025-07-16,AAPL,454.03,468.17,454.34,455.44,7208483,0.022846
2025-07-17,AAPL,453.16,460.68,443.97,457.6,34035391,0.004729
2025-07-18,AAPL,464.47,472.51,454.21,462.63,1600915,0.010926
2025-07-19,AAPL,469.55,484.02,461.25,471.35,14765182,0.018663
2025-07-20,AAPL,465.93,477.85,463.68,467.33,43609928,-0.008563
2025-07-21,AAPL,464.4,470.3,460.63,465.95,38204458,-0.00296
2025-07-22,AAPL,444.4,452.33,434.89,443.33,42314875,-0.049743
2025-07-23,AAPL,444.44,460.09,446.86,447.36,14764557,0.009038
2025-07-24,AAPL,446.14,457.41,446.28,450.32,34343460,0.006593
2025-07-25,AAPL,466.77,476.72,453.71,465.91,29299524,0.03404
2025-07-26,AAPL,451.49,464.86,454.32,455.88,19891057,-0.021764
2025-07-27,AAPL,452.96,457.41,443.53,455.99,4774164,0.000245
2025-07-28,AAPL,433.36,439.4,434.25,437.59,49294703,-0.041188
2025-07-29,AAPL,440.63,443.83,428.53,439.76,14285710,0.004934
2025-07-30,AAPL,447.0,461.02,439.0,449.24,32021560,0.021331
2025-07-31,AAPL,457.18,464.5,446.65,455.1,8400809,0.012962
2025-08-01,AAPL,452.27,456.54,446.86,452.07,46331855,-0.006668
2025-08-02,AAPL,450.17,458.06,447.34,453.76,18449567,0.003725
2025-08-03,AAPL,443.31,450.69,443.21,445.32,18230882,-0.018772
2025-08-04,AAPL,444.77,450.92,445.95,446.99,43848990,0.00374
2025-08-05,AAPL,447.24,454.1,436.56,443.7,18311513,-0.007392
2025-08-06,AAPL,452.74,456.93,441.93,450.17,6620112,0.014481
2025-08-07,AAPL,465.19,470.36,461.34,467.96,41875634,0.038743
2025-08-08,AAPL,464.69,472.56,464.69,467.67,13512336,-0.00062
2025-08-09,AAPL,451.63,466.53,445.73,453.45,11620788,-0.030866
2025-08-10,AAPL,445.1,450.05,437.45,448.16,45074831,-0.011737
2025-08-11,AAPL,439.77,443.19,432.65,442.04,13544292,-0.013743
2025-08-12,AAPL,436.24,436.2,433.74,435.38,1031562,-0.015197
2025-08-13,AAPL,433.79,437.25,424.97,430.71,38416431,-0.01077
2025-08-14,AAPL,434.92,444.66,436.99,438.45,47656119,0.017804
2025-08-15,AAPL,413.82,413.03,399.85,412.08,21894260,-0.062019
2025-08-16,AAPL,409.85,422.6,406.88,413.64,7041498,0.003774
2025-08-17,AAPL,409.88,415.27,403.3,409.77,11052962,-0.00941
2025-08-18,AAPL,400.09,407.69,396.94,397.78,38096677,-0.029678
2025-08-19,AAPL,402.84,405.87,389.86,401.41,32912742,0.009062
2025-08-20,AAPL,396.07,403.93,390.19,395.74,20332787,-0.014216
2025-08-21,AAPL,399.35,403.97,386.31,397.99,38463289,0.005672
2025-08-22,AAPL,407.53,421.53,403.47,409.35,41007209,0.028141
2025-08-23,AAPL,411.26,418.55,407.99,409.72,22364849,0.000902
2025-08-24,AAPL,400.16,402.94,387.76,397.74,31646868,-0.029681
2025-08-25,AAPL,398.41,409.63,392.93,398.1,2140254,0.000904
2025-08-26,AAPL,400.72,408.18,392.7,404.65,17042791,0.016325
2025-08-27,AAPL,395.95,403.24,395.14,397.74,46110351,-0.017213
2025-08-28,AAPL,400.76,411.11,393.81,401.42,40775587,0.009196
2025-08-29,AAPL,396.76,406.56,390.8,398.13,12633280,-0.008215
2025-08-30,AAPL,389.19,386.95,382.35,386.66,25135347,-0.02924
2025-08-31,AAPL,385.48,386.1,372.2,383.46,43019958,-0.008326
2025-09-01,AAPL,394.9,399.54,390.12,392.08,7795582,0.022253
2025-09-02,AAPL,397.66,398.09,389.47,397.63,36719389,0.014053
2025-09-03,AAPL,415.63,418.45,406.12,411.99,15977405,0.035459
2025-09-04,AAPL,408.02,419.61,400.23,409.44,37804637,-0.006196
2025-09-05,AAPL,425.36,424.12,413.98,423.87,20077479,0.03464
2025-09-06,AAPL,431.66,438.44,426.9,432.8,4973603,0.020843
2025-09-07,AAPL,431.54,436.97,422.73,428.22,22360100,-0.010639
2025-09-08,AAPL,415.43,416.51,408.14,412.83,4009437,-0.036601
2025-09-09,AAPL,404.99,413.29,402.81,405.45,45233290,-0.018026
2025-09-10,AAPL,400.5,404.5,400.48,401.69,1459243,-0.009331
2025-09-11,AAPL,406.93,416.11,398.3,404.13,6942924,0.006063
2025-09-12,AAPL,401.94,413.61,399.51,402.27,32173381,-0.004614
2025-09-13,AAPL,408.43,412.87,401.16,411.96,38874185,0.023804
2025-09-14,AAPL,423.05,424.68,409.98,420.65,30133729,0.020865
2025-09-15,AAPL,436.2,439.54,429.35,434.07,44745905,0.031418
2025-09-16,AAPL,432.29,445.76,426.69,435.51,47821202,0.003309
2025-09-17,AAPL,449.49,450.93,440.08,448.84,13901130,0.030144
2025-09-18,AAPL,463.85,467.38,458.95,463.74,49204477,0.032656
2025-09-19,AAPL,450.96,452.52,443.73,451.95,18828784,-0.025761
2025-09-20,AAPL,443.19,447.36,437.02,441.68,36307127,-0.022972
2025-09-21,AAPL,463.27,469.07,453.22,462.27,42380779,0.045561
2025-09-22,AAPL,450.33,454.73,443.17,452.95,18501225,-0.020379
2025-09-23,AAPL,453.32,451.89,436.23,449.2,39496154,-0.008314
2025-09-24,AAPL,445.13,447.98,436.77,443.35,6171423,-0.013089
2025-09-25,AAPL,441.7,452.94,440.27,442.39,13957514,-0.002168
2025-09-26,AAPL,437.43,441.0,433.99,440.02,16675729,-0.005384
2025-09-27,AAPL,440.24,444.27,431.43,442.43,44969855,0.005461
2025-09-28,AAPL,445.08,455.16,443.23,444.06,34010723,0.003674
2025-09-29,AAPL,452.12,457.55,444.36,448.76,37835212,0.010534
2025-09-30,AAPL,448.71,456.42,443.91,448.57,18958763,-0.00043
2025-10-01,AAPL,454.68,461.39,444.92,451.5,24379489,0.006517
2025-10-02,AAPL,442.97,449.63,435.97,443.48,10410965,-0.01793
2025-10-03,AAPL,434.3,443.51,427.37,434.38,16043555,-0.020723
2025-10-04,AAPL,443.06,441.5,436.67,440.08,49342929,0.013033
2025-10-05,AAPL,456.28,466.17,450.33,454.65,5270964,0.032574
2025-10-06,AAPL,451.64,456.85,440.77,447.44,46559014,-0.015986
2025-10-07,AAPL,453.59,460.48,444.42,449.13,24288030,0.003763
2025-10-08,AAPL,443.56,447.87,440.29,445.06,10137621,-0.009088
2025-10-09,AAPL,446.09,448.17,430.92,443.63,18475962,-0.003223
2025-10-10,AAPL,437.42,453.42,435.42,441.17,8823746,-0.00557
2025-10-11,AAPL,440.21,444.51,427.12,437.67,15010937,-0.00795
2025-10-12,AAPL,440.35,448.12,427.0,439.98,9841510,0.005248
2025-10-13,AAPL,449.4,447.25,444.91,445.68,6584562,0.012888
2025-10-14,AAPL,441.29,444.22,434.56,442.76,2288500,-0.006593
2025-10-15,AAPL,443.02,451.7,431.61,444.83,11577061,0.00468
2025-10-16,AAPL,444.18,451.84,430.81,444.1,28071742,-0.001659
2025-10-17,AAPL,438.04,446.25,430.24,436.06,46619462,-0.018256
2025-10-18,AAPL,442.16,456.63,436.2,443.42,29075206,0.016732
2025-10-19,AAPL,444.89,452.96,444.36,446.27,32190212,0.006398
2025-10-20,AAPL,453.38,460.67,450.47,456.83,13888132,0.023395
2025-10-21,AAPL,451.32,453.25,446.54,448.47,36729234,-0.018471
2025-10-22,AAPL,464.17,470.26,461.34,465.1,10321047,0.03641
2025-10-23,AAPL,459.57,474.63,455.91,463.6,38572484,-0.003222
2025-10-24,AAPL,455.9,458.34,448.81,454.77,34450550,-0.01923
2025-10-25,AAPL,465.59,472.64,457.29,464.19,7676821,0.020487
2025-10-26,AAPL,478.67,485.69,469.72,474.24,42556906,0.021428
2025-10-27,AAPL,489.78,495.15,478.78,485.65,46184891,0.023777
2025-10-28,AAPL,479.24,482.08,466.95,481.28,35086158,-0.009047
2025-02-19,MSFT,367.28,376.81,369.28,369.78,31613872,-0.024046
2025-02-20,MSFT,362.94,367.78,358.13,366.33,13958099,-0.009364
2025-02-21,MSFT,365.29,367.06,356.38,363.11,3475693,-0.008841
2025-02-22,MSFT,344.6,350.59,338.79,347.85,7261453,-0.042925
2025-02-23,MSFT,364.11,369.49,357.22,361.37,11723954,0.038115
2025-02-24,MSFT,371.95,377.96,365.37,374.54,17008554,0.035795
2025-02-25,MSFT,375.86,374.7,365.42,373.54,41604553,-0.00266
2025-02-26,MSFT,380.61,378.23,372.79,377.8,37477574,0.011325
2025-02-27,MSFT,370.1,379.11,364.06,372.0,48115093,-0.015468
2025-02-28,MSFT,383.9,387.08,380.89,382.06,43137720,0.02669
2025-03-01,MSFT,384.97,396.32,387.67,388.25,29354795,0.016069
2025-03-02,MSFT,371.98,374.64,373.03,374.43,17164035,-0.036246
2025-03-03,MSFT,382.01,388.23,372.57,379.33,46468614,0.013017
2025-03-04,MSFT,371.1,375.95,367.97,374.63,10248668,-0.012463
2025-03-05,MSFT,372.63,377.61,366.49,375.16,13819257,0.001397
2025-03-06,MSFT,370.24,374.77,364.01,368.94,24426332,-0.016718
2025-03-07,MSFT,364.72,374.17,357.0,367.75,19096770,-0.003229
2025-03-08,MSFT,361.42,375.1,358.99,364.63,38626675,-0.008513
2025-03-09,MSFT,349.99,355.79,343.4,351.49,6646904,-0.0367
2025-03-10,MSFT,350.08,351.48,350.88,351.35,26577194,-0.000399
2025-03-11,MSFT,356.92,361.43,349.24,357.28,15162172,0.016746
2025-03-12,MSFT,357.48,364.58,355.36,355.81,9968641,-0.004146
2025-03-13,MSFT,359.8,366.76,350.26,356.41,48015820,0.0017
2025-03-14,MSFT,364.06,367.96,351.91,361.82,36890870,0.015048
2025-03-15,MSFT,366.33,371.21,355.83,365.88,18024356,0.011176
2025-03-16,MSFT,366.15,372.98,352.91,363.08,10970761,-0.007684
2025-03-17,MSFT,355.96,362.27,357.7,358.61,47324871,-0.012388
2025-03-18,MSFT,353.39,363.92,352.76,355.49,42581938,-0.008754
2025-03-19,MSFT,367.27,370.43,360.29,364.48,13099076,0.024985
2025-03-20,MSFT,379.16,385.41,366.78,377.06,44123737,0.033943
2025-03-21,MSFT,363.55,365.85,360.28,364.29,2814124,-0.034478
2025-03-22,MSFT,371.57,372.68,365.36,369.55,14151810,0.014356
2025-03-23,MSFT,364.92,368.18,359.77,366.77,43613723,-0.007558
2025-03-24,MSFT,364.72,368.39,358.38,361.48,27938075,-0.014519
2025-03-25,MSFT,354.19,363.23,352.35,354.34,4319820,-0.019973
2025-03-26,MSFT,367.13,371.41,361.07,364.38,46400713,0.027965
2025-03-27,MSFT,369.67,370.86,367.8,368.46,34901272,0.011126
2025-03-28,MSFT,363.47,367.3,362.54,366.43,12876975,-0.005518
2025-03-29,MSFT,361.24,363.53,352.3,358.37,4960943,-0.02224
2025-03-30,MSFT,366.85,377.87,362.53,369.55,43537625,0.030706
2025-03-31,MSFT,369.33,375.53,370.54,371.24,13704509,0.004574
2025-04-01,MSFT,377.36,380.51,378.82,380.27,23601612,0.024036
2025-04-02,MSFT,380.81,389.1,372.26,380.11,30670611,-0.000439
2025-04-03,MSFT,378.0,381.06,368.0,377.08,13567098,-0.008007
2025-04-04,MSFT,381.98,384.74,377.88,381.0,3557601,0.01035
2025-04-05,MSFT,389.79,389.67,382.46,387.04,13169779,0.01573
2025-04-06,MSFT,381.62,383.29,373.93,377.92,13677120,-0.023835
2025-04-07,MSFT,373.5,383.04,369.44,376.94,38585703,-0.002617
2025-04-08,MSFT,390.46,396.48,385.37,391.87,44949909,0.038866
2025-04-09,MSFT,405.43,409.73,396.38,405.84,24240273,0.035015
2025-04-10,MSFT,419.61,421.82,409.96,415.74,35510375,0.024101
2025-04-11,MSFT,425.6,436.08,424.83,426.51,24804811,0.025582
2025-04-12,MSFT,435.92,445.57,431.33,438.75,36658022,0.028285
2025-04-13,MSFT,438.34,448.48,428.39,436.07,22667272,-0.006131
2025-04-14,MSFT,431.61,434.97,422.08,432.2,34133854,-0.008903
2025-04-15,MSFT,441.6,439.69,432.87,437.53,44754958,0.012257
2025-04-16,MSFT,435.45,445.04,432.38,434.3,28239406,-0.007409
2025-04-17,MSFT,440.05,447.51,440.46,442.33,33347197,0.018328
2025-04-18,MSFT,434.71,439.97,422.76,435.6,48878137,-0.015338
2025-04-19,MSFT,438.16,447.06,431.02,438.21,37608627,0.005966
2025-04-20,MSFT,440.92,452.84,435.13,445.12,15305456,0.015641
2025-04-21,MSFT,445.25,451.15,444.15,445.76,2916161,0.001438
2025-04-22,MSFT,426.62,432.1,422.87,428.88,43869137,-0.038588
2025-04-23,MSFT,422.35,428.58,424.0,425.93,7655290,-0.006914
2025-04-24,MSFT,429.65,439.58,427.87,430.41,7218395,0.01046
2025-04-25,MSFT,433.87,442.53,427.37,437.96,48437333,0.017388
2025-04-26,MSFT,438.18,451.73,427.8,440.38,44196619,0.005522
2025-04-27,MSFT,433.72,435.01,429.84,434.87,29070873,-0.012586
2025-04-28,MSFT,441.94,448.01,432.59,439.89,3414335,0.011476
2025-04-29,MSFT,440.72,455.1,430.86,442.83,11316617,0.006661
2025-04-30,MSFT,450.08,455.47,440.89,453.58,13837315,0.023975
2025-05-01,MSFT,452.98,466.36,443.14,454.62,12390354,0.002289
2025-05-02,MSFT,460.21,459.91,445.91,455.98,14954333,0.002984
2025-05-03,MSFT,454.17,455.9,437.11,449.67,16520996,-0.013921
2025-05-04,MSFT,455.35,462.12,440.04,453.04,34221732,0.007454
2025-05-05,MSFT,456.22,457.37,442.14,454.81,23586069,0.003917
2025-05-06,MSFT,445.89,451.11,435.45,444.47,14433262,-0.023012
2025-05-07,MSFT,433.09,436.64,424.65,435.37,20737618,-0.020683
2025-05-08,MSFT,426.15,433.82,419.62,426.82,24897298,-0.019841
2025-05-09,MSFT,433.37,434.17,431.02,433.83,32782300,0.016299
2025-05-10,MSFT,434.81,445.5,425.28,436.41,9887555,0.005928
2025-05-11,MSFT,439.36,446.31,431.46,440.49,43155407,0.009307
2025-05-12,MSFT,443.24,455.44,434.16,443.75,2716536,0.007376
2025-05-13,MSFT,439.34,454.4,438.92,441.66,20428656,-0.004729
2025-05-14,MSFT,430.53,444.52,424.7,434.09,10840971,-0.017288
2025-05-15,MSFT,444.45,449.32,438.28,444.56,7239484,0.023846
2025-05-16,MSFT,462.67,472.24,457.51,459.44,11167812,0.032913
2025-05-17,MSFT,465.53,467.64,463.53,465.81,37278823,0.013778
2025-05-18,MSFT,470.12,475.19,469.77,473.54,5802920,0.016448
2025-05-19,MSFT,482.21,481.01,474.61,479.61,49492445,0.012747
2025-05-20,MSFT,482.63,486.17,479.99,480.16,14228619,0.001143
2025-05-21,MSFT,470.51,476.66,472.65,472.74,2870842,-0.015567
2025-05-22,MSFT,488.65,502.96,484.88,493.54,24460529,0.043046
2025-05-23,MSFT,484.55,481.45,467.18,480.98,40809495,-0.025765
2025-05-24,MSFT,478.37,481.81,463.03,474.44,33070186,-0.0137
2025-05-25,MSFT,492.06,496.08,477.98,489.98,18040339,0.032235
2025-05-26,MSFT,473.34,476.85,475.98,476.56,25689361,-0.027766
2025-05-27,MSFT,486.47,500.84,476.64,486.51,17045805,0.020652
2025-05-28,MSFT,475.92,481.07,458.19,471.76,23114139,-0.030794
2025-05-29,MSFT,488.94,488.64,475.39,484.42,1638726,0.026485
2025-05-30,MSFT,484.64,502.39,481.55,489.28,3218710,0.009995
2025-05-31,MSFT,481.25,495.43,472.59,483.45,19768163,-0.011983
2025-06-01,MSFT,489.21,494.66,473.84,486.5,11337602,0.006281
2025-06-02,MSFT,463.84,469.42,457.03,462.55,42161187,-0.050486
2025-06-03,MSFT,462.93,472.72,459.78,462.61,37576344,0.00013
2025-06-04,MSFT,444.29,446.74,438.68,445.81,26030489,-0.036998
2025-06-05,MSFT,445.98,447.26,441.97,445.83,33798742,4.7e-05
2025-06-06,MSFT,447.23,452.52,448.18,449.95,44277952,0.009206
2025-06-07,MSFT,439.96,439.65,426.51,438.93,9173237,-0.024787
2025-06-08,MSFT,440.57,446.99,438.07,438.21,40788404,-0.001643
2025-06-09,MSFT,455.46,458.03,454.8,457.95,9735934,0.044061
2025-06-10,MSFT,457.2,467.85,457.07,457.2,39594896,-0.001637
2025-06-11,MSFT,456.13,455.0,444.11,451.91,4445709,-0.011658
2025-06-12,MSFT,437.75,452.8,435.06,441.98,45262100,-0.022198
2025-06-13,MSFT,435.56,440.46,421.3,433.58,23170999,-0.019204
2025-06-14,MSFT,443.76,444.83,441.24,442.14,2055713,0.019566
2025-06-15,MSFT,437.54,439.74,424.23,434.33,43186943,-0.017836
2025-06-16,MSFT,431.27,436.91,425.58,427.93,22269115,-0.01484
2025-06-17,MSFT,427.79,433.59,420.75,428.56,44032107,0.001467
2025-06-18,MSFT,417.46,427.79,406.5,416.39,13698115,-0.028807
